hotel_name,location,county,country,description,price_range,amenities,room_types,rating,nearby_attractions,category,source_url,combined_text
Diani Reef Beach Resort,Diani,Kwale,Kenya,Sprawling beachfront resort with water sports and multiple restaurants,100-350 USD,WiFi|Pool|Beach|Restaurant|Bar|Spa|Water Sports|Kids Club,Standard|Deluxe|Suite|Villa,4.5,Diani Beach|Shimba Hills,Beach Resort,https://www.dianireefsort.com,"Hotel: Diani Reef Beach Resort. Location: Diani, Kenya. Category: Beach Resort. Description: Sprawling beachfront resort with water sports and multiple restaurants. Price range: 100-350 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Spa, Water Sports, Kids Club. Room types: Standard, Deluxe, Suite, Villa. Rating: 4.5 out of 5. Nearby attractions: Diani Beach, Shimba Hills."
Baobab Beach Resort,Diani,Kwale,Kenya,Family friendly beach resort with stunning ocean views and water sports,80-250 USD,WiFi|Pool|Beach|Restaurant|Bar|Water Sports|Kids Club,Standard|Deluxe|Suite,4.3,Diani Beach|Wasini Island,Beach Resort,https://www.baobabbeachresort.com,"Hotel: Baobab Beach Resort. Location: Diani, Kenya. Category: Beach Resort. Description: Family friendly beach resort with stunning ocean views and water sports. Price range: 80-250 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Water Sports, Kids Club. Room types: Standard, Deluxe, Suite. Rating: 4.3 out of 5. Nearby attractions: Diani Beach, Wasini Island."
Almanara Luxury Villas,Diani,Kwale,Kenya,Exclusive boutique resort with private pool villas steps from Diani Beach,300-800 USD,WiFi|Private Pool|Beach|Restaurant|Bar|Spa|Butler Service,Villa|Suite,4.9,Diani Beach|Chale Island,Luxury,https://www.almanara.com,"Hotel: Almanara Luxury Villas. Location: Diani, Kenya. Category: Luxury. Description: Exclusive boutique resort with private pool villas steps from Diani Beach. Price range: 300-800 USD. Amenities: WiFi, Private Pool, Beach, Restaurant, Bar, Spa, Butler Service. Room types: Villa, Suite. Rating: 4.9 out of 5. Nearby attractions: Diani Beach, Chale Island."
The Sands at Nomad,Diani,Kwale,Kenya,Intimate boutique hotel with superb dining and chic beach atmosphere,150-400 USD,WiFi|Pool|Beach|Restaurant|Bar|Watersports,Standard|Suite|Cottage,4.7,Diani Beach|Colobus Conservation,Boutique,https://www.thesandsatnomad.com,"Hotel: The Sands at Nomad. Location: Diani, Kenya. Category: Boutique. Description: Intimate boutique hotel with superb dining and chic beach atmosphere. Price range: 150-400 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Watersports. Room types: Standard, Suite, Cottage. Rating: 4.7 out of 5. Nearby attractions: Diani Beach, Colobus Conservation."
AfroChic Diani,Diani,Kwale,Kenya,Small boutique beach hotel known for personalised service and great food,120-300 USD,WiFi|Pool|Beach|Restaurant|Bar,Standard|Suite,4.6,Diani Beach|Shimba Hills,Boutique,https://www.afrochic.com,"Hotel: AfroChic Diani. Location: Diani, Kenya. Category: Boutique. Description: Small boutique beach hotel known for personalised service and great food. Price range: 120-300 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar. Room types: Standard, Suite. Rating: 4.6 out of 5. Nearby attractions: Diani Beach, Shimba Hills."
Pinewood Beach Resort,Diani,Kwale,Kenya,Affordable beachfront resort popular with families and couples,60-180 USD,WiFi|Pool|Beach|Restaurant|Bar|Water Sports,Standard|Deluxe,4.0,Diani Beach|Chale Island,Mid-range,https://www.pinewoodkenya.com,"Hotel: Pinewood Beach Resort. Location: Diani, Kenya. Category: Mid-range. Description: Affordable beachfront resort popular with families and couples. Price range: 60-180 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Water Sports. Room types: Standard, Deluxe. Rating: 4.0 out of 5. Nearby attractions: Diani Beach, Chale Island."
Neptune Paradise Beach Resort,Diani,Kwale,Kenya,All inclusive beachfront resort with entertainment and multiple pools,90-280 USD,WiFi|Pool|Beach|Restaurant|Bar|Entertainment|All Inclusive,Standard|Deluxe|Suite,4.2,Diani Beach|Wasini Island,All Inclusive,https://www.neptunehotels.com,"Hotel: Neptune Paradise Beach Resort. Location: Diani, Kenya. Category: All Inclusive. Description: All inclusive beachfront resort with entertainment and multiple pools. Price range: 90-280 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Entertainment, All Inclusive. Room types: Standard, Deluxe, Suite. Rating: 4.2 out of 5. Nearby attractions: Diani Beach, Wasini Island."
Swahili Beach Resort,Diani,Kwale,Kenya,Adults only boutique resort with Swahili inspired architecture,150-380 USD,WiFi|Pool|Beach|Restaurant|Bar|Spa,Standard|Suite,4.5,Diani Beach|Shimba Hills,Boutique,https://www.swahilibeach.com,"Hotel: Swahili Beach Resort. Location: Diani, Kenya. Category: Boutique. Description: Adults only boutique resort with Swahili inspired architecture. Price range: 150-380 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Spa. Room types: Standard, Suite. Rating: 4.5 out of 5. Nearby attractions: Diani Beach, Shimba Hills."
Leopard Beach Resort,Diani,Kwale,Kenya,Long established resort with lush gardens and beautiful beachfront,100-300 USD,WiFi|Pool|Beach|Restaurant|Bar|Spa|Water Sports,Standard|Deluxe|Suite,4.3,Diani Beach|Funzi Island,Beach Resort,https://www.leopardbeachresort.com,"Hotel: Leopard Beach Resort. Location: Diani, Kenya. Category: Beach Resort. Description: Long established resort with lush gardens and beautiful beachfront. Price range: 100-300 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Spa, Water Sports. Room types: Standard, Deluxe, Suite. Rating: 4.3 out of 5. Nearby attractions: Diani Beach, Funzi Island."
Southern Palms Beach Resort,Diani,Kwale,Kenya,Large all inclusive resort with extensive facilities and entertainment,80-220 USD,WiFi|Pool|Beach|Restaurant|Bar|Entertainment|All Inclusive|Tennis,Standard|Deluxe|Suite,4.1,Diani Beach|Shimba Hills,All Inclusive,https://www.southernpalmskenya.com,"Hotel: Southern Palms Beach Resort. Location: Diani, Kenya. Category: All Inclusive. Description: Large all inclusive resort with extensive facilities and entertainment. Price range: 80-220 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Entertainment, All Inclusive, Tennis. Room types: Standard, Deluxe, Suite. Rating: 4.1 out of 5. Nearby attractions: Diani Beach, Shimba Hills."
Serena Beach Resort,Mombasa,Mombasa,Kenya,Elegant beachfront resort at Shanzu with Swahili architecture and lush gardens,120-380 USD,WiFi|Pool|Beach|Restaurant|Bar|Spa|Water Sports|Tennis,Standard|Deluxe|Suite,4.6,Shanzu Beach|Mombasa Old Town,Luxury,https://www.serenahotels.com,"Hotel: Serena Beach Resort. Location: Mombasa, Kenya. Category: Luxury. Description: Elegant beachfront resort at Shanzu with Swahili architecture and lush gardens. Price range: 120-380 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Spa, Water Sports, Tennis. Room types: Standard, Deluxe, Suite. Rating: 4.6 out of 5. Nearby attractions: Shanzu Beach, Mombasa Old Town."
Voyager Beach Resort,Mombasa,Mombasa,Kenya,Fun nautical themed all inclusive resort at Shanzu popular with families,80-220 USD,WiFi|Pool|Beach|Restaurant|Bar|Entertainment|Kids Club|All Inclusive,Standard|Deluxe|Suite,4.2,Shanzu Beach|Haller Park,All Inclusive,https://www.heritagehotels.co.ke,"Hotel: Voyager Beach Resort. Location: Mombasa, Kenya. Category: All Inclusive. Description: Fun nautical themed all inclusive resort at Shanzu popular with families. Price range: 80-220 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Entertainment, Kids Club, All Inclusive. Room types: Standard, Deluxe, Suite. Rating: 4.2 out of 5. Nearby attractions: Shanzu Beach, Haller Park."
PrideInn Paradise Beach Resort,Mombasa,Mombasa,Kenya,Large modern all inclusive beach resort with extensive facilities,70-200 USD,WiFi|Pool|Beach|Restaurant|Bar|Entertainment|All Inclusive|Conference,Standard|Deluxe|Suite,4.0,Bamburi Beach|Haller Park,All Inclusive,https://www.prideinnhotels.com,"Hotel: PrideInn Paradise Beach Resort. Location: Mombasa, Kenya. Category: All Inclusive. Description: Large modern all inclusive beach resort with extensive facilities. Price range: 70-200 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Entertainment, All Inclusive, Conference. Room types: Standard, Deluxe, Suite. Rating: 4.0 out of 5. Nearby attractions: Bamburi Beach, Haller Park."
Sarova Whitesands Beach Resort,Mombasa,Mombasa,Kenya,Classic beachfront resort at Bamburi with multiple pools and restaurants,100-300 USD,WiFi|Pool|Beach|Restaurant|Bar|Spa|Water Sports,Standard|Deluxe|Suite,4.3,Bamburi Beach|Mamba Village,Beach Resort,https://www.sarovahotels.com,"Hotel: Sarova Whitesands Beach Resort. Location: Mombasa, Kenya. Category: Beach Resort. Description: Classic beachfront resort at Bamburi with multiple pools and restaurants. Price range: 100-300 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Spa, Water Sports. Room types: Standard, Deluxe, Suite. Rating: 4.3 out of 5. Nearby attractions: Bamburi Beach, Mamba Village."
Travellers Beach Hotel,Mombasa,Mombasa,Kenya,Popular mid range beach hotel at Bamburi with lively atmosphere,50-150 USD,WiFi|Pool|Beach|Restaurant|Bar|Entertainment,Standard|Deluxe,3.9,Bamburi Beach|Haller Park,Mid-range,https://www.travellersbeach.com,"Hotel: Travellers Beach Hotel. Location: Mombasa, Kenya. Category: Mid-range. Description: Popular mid range beach hotel at Bamburi with lively atmosphere. Price range: 50-150 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Entertainment. Room types: Standard, Deluxe. Rating: 3.9 out of 5. Nearby attractions: Bamburi Beach, Haller Park."
English Point Marina,Mombasa,Mombasa,Kenya,Boutique luxury hotel on Mombasa Island with marina and harbour views,200-500 USD,WiFi|Pool|Restaurant|Bar|Spa|Marina|Yacht,Standard|Suite|Penthouse,4.7,Mombasa Old Town|Fort Jesus,Boutique,https://www.englishpointmarina.com,"Hotel: English Point Marina. Location: Mombasa, Kenya. Category: Boutique. Description: Boutique luxury hotel on Mombasa Island with marina and harbour views. Price range: 200-500 USD. Amenities: WiFi, Pool, Restaurant, Bar, Spa, Marina, Yacht. Room types: Standard, Suite, Penthouse. Rating: 4.7 out of 5. Nearby attractions: Mombasa Old Town, Fort Jesus."
Nyali Sun Africa Beach Hotel,Mombasa,Mombasa,Kenya,Well established beach hotel at Nyali with good facilities and ocean views,70-200 USD,WiFi|Pool|Beach|Restaurant|Bar|Water Sports,Standard|Deluxe|Suite,4.1,Nyali Beach|City Mall,Beach Resort,https://www.sunafricahotels.com,"Hotel: Nyali Sun Africa Beach Hotel. Location: Mombasa, Kenya. Category: Beach Resort. Description: Well established beach hotel at Nyali with good facilities and ocean views. Price range: 70-200 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Water Sports. Room types: Standard, Deluxe, Suite. Rating: 4.1 out of 5. Nearby attractions: Nyali Beach, City Mall."
Mövenpick Hotel Mombasa,Mombasa,Mombasa,Kenya,International brand hotel near Mombasa port with harbour views,90-280 USD,WiFi|Pool|Restaurant|Gym|Bar|Conference|Spa,Standard|Deluxe|Suite,4.4,Mombasa Old Town|Fort Jesus,Luxury,https://www.movenpick.com,"Hotel: Mövenpick Hotel Mombasa. Location: Mombasa, Kenya. Category: Luxury. Description: International brand hotel near Mombasa port with harbour views. Price range: 90-280 USD. Amenities: WiFi, Pool, Restaurant, Gym, Bar, Conference, Spa. Room types: Standard, Deluxe, Suite. Rating: 4.4 out of 5. Nearby attractions: Mombasa Old Town, Fort Jesus."
Jacaranda Indian Ocean Beach Resort,Mombasa,Mombasa,Kenya,Charming beachfront resort at Diani with beautiful tropical gardens,80-220 USD,WiFi|Pool|Beach|Restaurant|Bar|Water Sports,Standard|Deluxe|Suite,4.2,Bamburi Beach|Mombasa Marine Park,Beach Resort,https://www.jacarandahotels.com,"Hotel: Jacaranda Indian Ocean Beach Resort. Location: Mombasa, Kenya. Category: Beach Resort. Description: Charming beachfront resort at Diani with beautiful tropical gardens. Price range: 80-220 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Water Sports. Room types: Standard, Deluxe, Suite. Rating: 4.2 out of 5. Nearby attractions: Bamburi Beach, Mombasa Marine Park."
Mombasa Continental Resort,Mombasa,Mombasa,Kenya,Affordable beach resort at Shanzu with all inclusive option,50-150 USD,WiFi|Pool|Beach|Restaurant|Bar|Entertainment,Standard|Deluxe,3.8,Shanzu Beach|Bombolulu,Budget,https://www.mombasacontinental.com,"Hotel: Mombasa Continental Resort. Location: Mombasa, Kenya. Category: Budget. Description: Affordable beach resort at Shanzu with all inclusive option. Price range: 50-150 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Entertainment. Room types: Standard, Deluxe. Rating: 3.8 out of 5. Nearby attractions: Shanzu Beach, Bombolulu."
Enashipai Resort and Spa,Naivasha,Nakuru,Kenya,Luxury lakeside resort at Lake Naivasha with spa and conference facilities,120-400 USD,WiFi|Pool|Lake View|Restaurant|Bar|Spa|Gym|Cycling|Conference,Standard|Deluxe|Suite|Villa,4.7,Hell's Gate|Lake Naivasha|Crescent Island,Luxury,https://www.enashipai.com,"Hotel: Enashipai Resort and Spa. Location: Naivasha, Kenya. Category: Luxury. Description: Luxury lakeside resort at Lake Naivasha with spa and conference facilities. Price range: 120-400 USD. Amenities: WiFi, Pool, Lake View, Restaurant, Bar, Spa, Gym, Cycling, Conference. Room types: Standard, Deluxe, Suite, Villa. Rating: 4.7 out of 5. Nearby attractions: Hell's Gate, Lake Naivasha, Crescent Island."
Sawela Lodges,Naivasha,Nakuru,Kenya,Elegant lodge near Lake Naivasha with beautiful gardens and lake views,80-250 USD,WiFi|Pool|Restaurant|Bar|Boat Rides|Cycling,Standard|Deluxe|Suite,4.4,Lake Naivasha|Crescent Island|Hell's Gate,Lodge,https://www.sawelaodges.com,"Hotel: Sawela Lodges. Location: Naivasha, Kenya. Category: Lodge. Description: Elegant lodge near Lake Naivasha with beautiful gardens and lake views. Price range: 80-250 USD. Amenities: WiFi, Pool, Restaurant, Bar, Boat Rides, Cycling. Room types: Standard, Deluxe, Suite. Rating: 4.4 out of 5. Nearby attractions: Lake Naivasha, Crescent Island, Hell's Gate."
Great Rift Valley Lodge,Naivasha,Nakuru,Kenya,Scenic lodge perched on the rim of the Great Rift Valley with stunning views,150-400 USD,WiFi|Pool|Restaurant|Bar|Gym|Golf|Spa,Standard|Suite|Cottage,4.6,Lake Naivasha|Hell's Gate|Rift Valley Views,Lodge,https://www.heritagehotels.co.ke,"Hotel: Great Rift Valley Lodge. Location: Naivasha, Kenya. Category: Lodge. Description: Scenic lodge perched on the rim of the Great Rift Valley with stunning views. Price range: 150-400 USD. Amenities: WiFi, Pool, Restaurant, Bar, Gym, Golf, Spa. Room types: Standard, Suite, Cottage. Rating: 4.6 out of 5. Nearby attractions: Lake Naivasha, Hell's Gate, Rift Valley Views."
Crater Lake Tented Camp,Naivasha,Nakuru,Kenya,Intimate tented camp within a private sanctuary on the shores of Crater Lake,100-300 USD,WiFi|Restaurant|Bar|Nature Walks|Bird Watching,Tent|Suite Tent,4.5,Crater Lake|Lake Naivasha|Hell's Gate,Tented Camp,https://www.craterlaketentedcamp.com,"Hotel: Crater Lake Tented Camp. Location: Naivasha, Kenya. Category: Tented Camp. Description: Intimate tented camp within a private sanctuary on the shores of Crater Lake. Price range: 100-300 USD. Amenities: WiFi, Restaurant, Bar, Nature Walks, Bird Watching. Room types: Tent, Suite Tent. Rating: 4.5 out of 5. Nearby attractions: Crater Lake, Lake Naivasha, Hell's Gate."
Kongoni Camp,Naivasha,Nakuru,Kenya,Exclusive tented camp on the shores of Lake Naivasha with superb bird watching,200-500 USD,Restaurant|Bar|Lake Views|Boat Rides|Bird Watching|Cycling,Tent|Suite Tent,4.8,Lake Naivasha|Crescent Island|Hippo Point,Tented Camp,https://www.kongonicamp.com,"Hotel: Kongoni Camp. Location: Naivasha, Kenya. Category: Tented Camp. Description: Exclusive tented camp on the shores of Lake Naivasha with superb bird watching. Price range: 200-500 USD. Amenities: Restaurant, Bar, Lake Views, Boat Rides, Bird Watching, Cycling. Room types: Tent, Suite Tent. Rating: 4.8 out of 5. Nearby attractions: Lake Naivasha, Crescent Island, Hippo Point."
Sarova Lion Hill Game Lodge,Nakuru,Nakuru,Kenya,Only lodge inside Lake Nakuru National Park with direct rhino and flamingo viewing,150-450 USD,WiFi|Pool|Restaurant|Bar|Game Drives|Bird Watching,Standard|Deluxe|Suite,4.7,Lake Nakuru|Menengai Crater|Hyrax Hill,Game Lodge,https://www.sarovahotels.com,"Hotel: Sarova Lion Hill Game Lodge. Location: Nakuru, Kenya. Category: Game Lodge. Description: Only lodge inside Lake Nakuru National Park with direct rhino and flamingo viewing. Price range: 150-450 USD. Amenities: WiFi, Pool, Restaurant, Bar, Game Drives, Bird Watching. Room types: Standard, Deluxe, Suite. Rating: 4.7 out of 5. Nearby attractions: Lake Nakuru, Menengai Crater, Hyrax Hill."
Lake Nakuru Lodge,Nakuru,Nakuru,Kenya,Comfortable lodge inside Lake Nakuru National Park with wildlife views,80-200 USD,WiFi|Restaurant|Bar|Game Drives,Standard|Deluxe|Cottage,4.2,Lake Nakuru|Flamingo Viewing|Rhino Sanctuary,Lodge,https://www.lakenakuruodge.com,"Hotel: Lake Nakuru Lodge. Location: Nakuru, Kenya. Category: Lodge. Description: Comfortable lodge inside Lake Nakuru National Park with wildlife views. Price range: 80-200 USD. Amenities: WiFi, Restaurant, Bar, Game Drives. Room types: Standard, Deluxe, Cottage. Rating: 4.2 out of 5. Nearby attractions: Lake Nakuru, Flamingo Viewing, Rhino Sanctuary."
Flamingo Hill Tented Camp,Nakuru,Nakuru,Kenya,Luxury tented camp on the shores of Lake Nakuru with flamingo and rhino sightings,120-350 USD,WiFi|Restaurant|Bar|Game Drives|Bird Watching,Tent|Suite Tent,4.5,Lake Nakuru|Flamingo Viewing|Nakuru Town,Tented Camp,https://www.flamingohillcamp.com,"Hotel: Flamingo Hill Tented Camp. Location: Nakuru, Kenya. Category: Tented Camp. Description: Luxury tented camp on the shores of Lake Nakuru with flamingo and rhino sightings. Price range: 120-350 USD. Amenities: WiFi, Restaurant, Bar, Game Drives, Bird Watching. Room types: Tent, Suite Tent. Rating: 4.5 out of 5. Nearby attractions: Lake Nakuru, Flamingo Viewing, Nakuru Town."
Bakers Inn Nakuru,Nakuru,Nakuru,Kenya,Budget friendly town hotel good for travellers passing through Nakuru,20-60 USD,WiFi|Restaurant|Parking,Standard|Deluxe,3.5,Nakuru Town|Menengai Crater,Budget,https://www.bakersinnkenya.com,"Hotel: Bakers Inn Nakuru. Location: Nakuru, Kenya. Category: Budget. Description: Budget friendly town hotel good for travellers passing through Nakuru. Price range: 20-60 USD. Amenities: WiFi, Restaurant, Parking. Room types: Standard, Deluxe. Rating: 3.5 out of 5. Nearby attractions: Nakuru Town, Menengai Crater."
Milimani Resort Nakuru,Nakuru,Nakuru,Kenya,Mid range hotel in Nakuru town with comfortable rooms and good facilities,40-100 USD,WiFi|Restaurant|Bar|Parking|Conference,Standard|Deluxe|Suite,3.8,Nakuru Town|Lake Nakuru,Mid-range,https://www.milimaniresort.com,"Hotel: Milimani Resort Nakuru. Location: Nakuru, Kenya. Category: Mid-range. Description: Mid range hotel in Nakuru town with comfortable rooms and good facilities. Price range: 40-100 USD. Amenities: WiFi, Restaurant, Bar, Parking, Conference. Room types: Standard, Deluxe, Suite. Rating: 3.8 out of 5. Nearby attractions: Nakuru Town, Lake Nakuru."
Mara Serena Safari Lodge,Maasai Mara,Narok,Kenya,Iconic hilltop lodge inside Maasai Mara with panoramic views and game drives,300-800 USD,WiFi|Pool|Restaurant|Bar|Game Drives|Cultural Visits,Standard|Suite,4.8,Maasai Mara|Great Migration|Mara River,Luxury Lodge,https://www.serenahotels.com,"Hotel: Mara Serena Safari Lodge. Location: Maasai Mara, Kenya. Category: Luxury Lodge. Description: Iconic hilltop lodge inside Maasai Mara with panoramic views and game drives. Price range: 300-800 USD. Amenities: WiFi, Pool, Restaurant, Bar, Game Drives, Cultural Visits. Room types: Standard, Suite. Rating: 4.8 out of 5. Nearby attractions: Maasai Mara, Great Migration, Mara River."
Governors Camp,Maasai Mara,Narok,Kenya,Classic tented camp on the banks of Mara River known for the Great Migration,400-1200 USD,Restaurant|Bar|Game Drives|Bush Dinners|Hot Air Balloon,Tent|Suite Tent,4.9,Maasai Mara|Mara River|Great Migration,Luxury Tented Camp,https://www.governorscamp.com,"Hotel: Governors Camp. Location: Maasai Mara, Kenya. Category: Luxury Tented Camp. Description: Classic tented camp on the banks of Mara River known for the Great Migration. Price range: 400-1200 USD. Amenities: Restaurant, Bar, Game Drives, Bush Dinners, Hot Air Balloon. Room types: Tent, Suite Tent. Rating: 4.9 out of 5. Nearby attractions: Maasai Mara, Mara River, Great Migration."
Angama Mara,Maasai Mara,Narok,Kenya,Breathtaking camp perched on the edge of the Great Rift Valley above Maasai Mara,600-1500 USD,WiFi|Restaurant|Bar|Game Drives|Hot Air Balloon|Photography,Suite Tent,5.0,Maasai Mara|Rift Valley|Great Migration,Ultra Luxury,https://www.angama.com,"Hotel: Angama Mara. Location: Maasai Mara, Kenya. Category: Ultra Luxury. Description: Breathtaking camp perched on the edge of the Great Rift Valley above Maasai Mara. Price range: 600-1500 USD. Amenities: WiFi, Restaurant, Bar, Game Drives, Hot Air Balloon, Photography. Room types: Suite Tent. Rating: 5.0 out of 5. Nearby attractions: Maasai Mara, Rift Valley, Great Migration."
