location,country,scam_name,description,how_to_avoid,what_to_do_if_it_happens,combined_text
Zanzibar,Tanzania,Gem and Jewellery Scam,Sellers approach with gemstones or jewellery claiming they are rare and valuable offering to let you resell them for profit in your home country,Gems sold on the street are almost never genuine. Do not get drawn into investment stories,Walk away. The gems have no resale value,"Scam warning in Zanzibar, Tanzania: Gem and Jewellery Scam. Description: Sellers approach with gemstones or jewellery claiming they are rare and valuable offering to let you resell them for profit in your home country. How to avoid: Gems sold on the street are almost never genuine. Do not get drawn into investment stories. What to do: Walk away. The gems have no resale value."
Stone Town,Tanzania,Overpriced Restaurant,Restaurants near tourist sites charge dramatically higher prices than local spots. Menus without prices are a warning sign,Ask for the menu with prices before sitting down. Walk a few streets away from major tourist spots for better prices,If overcharged stay calm negotiate and pay a fair amount. Avoid confrontation,"Scam warning in Stone Town, Tanzania: Overpriced Restaurant. Description: Restaurants near tourist sites charge dramatically higher prices than local spots. Menus without prices are a warning sign. How to avoid: Ask for the menu with prices before sitting down. Walk a few streets away from major tourist spots for better prices. What to do: If overcharged stay calm negotiate and pay a fair amount. Avoid confrontation."
Arusha,Tanzania,Safari Booking Scam,Unlicensed safari operators in Arusha approach tourists offering very cheap safaris that never materialise or are of very poor quality,Book only through TATO registered operators or through your hotel. Verify company registration. Avoid street touts,If scammed report to Tanzania Tourist Board and your embassy. Stop payments immediately,"Scam warning in Arusha, Tanzania: Safari Booking Scam. Description: Unlicensed safari operators in Arusha approach tourists offering very cheap safaris that never materialise or are of very poor quality. How to avoid: Book only through TATO registered operators or through your hotel. Verify company registration. Avoid street touts. What to do: If scammed report to Tanzania Tourist Board and your embassy. Stop payments immediately."
Arusha,Tanzania,Kilimanjaro Permit Scam,Touts claim they can get discounted Kilimanjaro permits and disappear with your money,All Kilimanjaro permits must be booked through licensed operators registered with KINAPA,Only book through registered operators. Pay by card where possible for chargeback protection,"Scam warning in Arusha, Tanzania: Kilimanjaro Permit Scam. Description: Touts claim they can get discounted Kilimanjaro permits and disappear with your money. How to avoid: All Kilimanjaro permits must be booked through licensed operators registered with KINAPA. What to do: Only book through registered operators. Pay by card where possible for chargeback protection."
Kampala,Uganda,Boda Boda Theft,Motorcycle taxi riders snatch phones bags or jewellery from passengers or pedestrians especially at junctions,Keep phone in pocket or bag when riding. Do not use phone on boda boda. Hold bag on your lap not hanging,If robbed report to police. Note down any details of the rider or bike,"Scam warning in Kampala, Uganda: Boda Boda Theft. Description: Motorcycle taxi riders snatch phones bags or jewellery from passengers or pedestrians especially at junctions. How to avoid: Keep phone in pocket or bag when riding. Do not use phone on boda boda. Hold bag on your lap not hanging. What to do: If robbed report to police. Note down any details of the rider or bike."
Kampala,Uganda,Money Exchange Scam,Unofficial money changers on the street offer attractive rates then shortchange you using sleight of hand,Use only banks or licensed forex bureaus inside shopping malls. Never change money on the street,Count your money carefully before leaving the counter. Discrepancies are hard to dispute once you walk away,"Scam warning in Kampala, Uganda: Money Exchange Scam. Description: Unofficial money changers on the street offer attractive rates then shortchange you using sleight of hand. How to avoid: Use only banks or licensed forex bureaus inside shopping malls. Never change money on the street. What to do: Count your money carefully before leaving the counter. Discrepancies are hard to dispute once you walk away."
Nairobi,Kenya,ATM Skimming,Card skimming devices are sometimes placed on ATMs to steal card details especially in less monitored locations,Use ATMs inside bank branches or shopping malls only. Cover the keypad when entering PIN. Check for tampering,Cancel your card immediately if you suspect skimming. Contact your bank and monitor transactions,"Scam warning in Nairobi, Kenya: ATM Skimming. Description: Card skimming devices are sometimes placed on ATMs to steal card details especially in less monitored locations. How to avoid: Use ATMs inside bank branches or shopping malls only. Cover the keypad when entering PIN. Check for tampering. What to do: Cancel your card immediately if you suspect skimming. Contact your bank and monitor transactions."
Mombasa,Kenya,Tuk Tuk Overcharging,Tuk tuk drivers quote reasonable prices then add extra charges at the destination for luggage extra passengers or fuel,Agree on the total final price before boarding. Confirm it includes everything,Firmly pay only what was agreed. Have exact change ready to avoid disputes over change,"Scam warning in Mombasa, Kenya: Tuk Tuk Overcharging. Description: Tuk tuk drivers quote reasonable prices then add extra charges at the destination for luggage extra passengers or fuel. How to avoid: Agree on the total final price before boarding. Confirm it includes everything. What to do: Firmly pay only what was agreed. Have exact change ready to avoid disputes over change."
Lamu,Kenya,Dhow Tour Scam,Boat operators take tourists for dhow rides then demand far more money than agreed mid ocean using isolation as leverage,Agree on exact price duration and route before boarding. Get it in writing if possible. Use hotel recommended operators,Stay calm. Pay agreed amount only. Report to Lamu tourism office on return,"Scam warning in Lamu, Kenya: Dhow Tour Scam. Description: Boat operators take tourists for dhow rides then demand far more money than agreed mid ocean using isolation as leverage. How to avoid: Agree on exact price duration and route before boarding. Get it in writing if possible. Use hotel recommended operators. What to do: Stay calm. Pay agreed amount only. Report to Lamu tourism office on return."
Kisumu,Kenya,Hotel Booking Scam,Fake hotel listings on third party sites take bookings and payments for hotels that do not exist or are not as described,Book directly with hotels or through reputable platforms like Booking.com. Verify hotel exists by calling directly,Contact your bank to reverse payment. Report to the platform where you booked,"Scam warning in Kisumu, Kenya: Hotel Booking Scam. Description: Fake hotel listings on third party sites take bookings and payments for hotels that do not exist or are not as described. How to avoid: Book directly with hotels or through reputable platforms like Booking.com. Verify hotel exists by calling directly. What to do: Contact your bank to reverse payment. Report to the platform where you booked."
