city,country,transport_type,name,description,approximate_cost,how_to_use,app_available,tips,combined_text
Mombasa,Kenya,Matatu,Matatu,Public minibuses connecting Mombasa to surrounding areas and the coast,50-200 KES,Board at Mwembe Tayari or ferry stage,No,Useful for getting to Diani. Can be crowded and slow. Guard your belongings,"Transport in Mombasa, Kenya: Matatu. Type: Matatu. Description: Public minibuses connecting Mombasa to surrounding areas and the coast. Cost: 50-200 KES. How to use: Board at Mwembe Tayari or ferry stage. Tips: Useful for getting to Diani. Can be crowded and slow. Guard your belongings."
Diani,Kenya,Motorcycle,Boda Boda,Motorcycle taxis that are the main local transport along Diani Beach Road,100-300 KES,Hail from roadside or arrange through hotel,No,Wear a helmet always. Agree on price before riding. Useful for short beach hops,"Transport in Diani, Kenya: Boda Boda. Type: Motorcycle. Description: Motorcycle taxis that are the main local transport along Diani Beach Road. Cost: 100-300 KES. How to use: Hail from roadside or arrange through hotel. Tips: Wear a helmet always. Agree on price before riding. Useful for short beach hops."
Diani,Kenya,Ridehailing,Uber,Limited Uber availability in Diani. Best to arrange through hotel or trusted driver,800-2000 KES,Uber app may work but can have limited drivers,Yes - Uber app,Better to arrange a private driver through your hotel for day trips. Ask hotel for recommended drivers,"Transport in Diani, Kenya: Uber. Type: Ridehailing. Description: Limited Uber availability in Diani. Best to arrange through hotel or trusted driver. Cost: 800-2000 KES. How to use: Uber app may work but can have limited drivers. Tips: Better to arrange a private driver through your hotel for day trips. Ask hotel for recommended drivers."
Diani,Kenya,Car Hire,Car Rental,Several car hire companies operate in Diani for self drive or with driver,3000-8000 KES per day,Book through hotel or local agencies,No,Roads can be rough away from main highway. Hiring with a driver is often more practical and similar cost,"Transport in Diani, Kenya: Car Rental. Type: Car Hire. Description: Several car hire companies operate in Diani for self drive or with driver. Cost: 3000-8000 KES per day. How to use: Book through hotel or local agencies. Tips: Roads can be rough away from main highway. Hiring with a driver is often more practical and similar cost."
Maasai Mara,Kenya,Safari Vehicle,Game Drive Vehicle,4x4 vehicles with pop up roofs are the standard transport inside the reserve,Included in lodge package or 80-150 USD per drive,Book through your lodge or camp,No,Private game drives give more flexibility than shared vehicles. Early morning 6am drives are best for wildlife,"Transport in Maasai Mara, Kenya: Game Drive Vehicle. Type: Safari Vehicle. Description: 4x4 vehicles with pop up roofs are the standard transport inside the reserve. Cost: Included in lodge package or 80-150 USD per drive. How to use: Book through your lodge or camp. Tips: Private game drives give more flexibility than shared vehicles. Early morning 6am drives are best for wildlife."
Naivasha,Kenya,Bicycle,Bicycle Hire,Bicycles available for hire at Hell's Gate for cycling among wildlife,500-800 KES per day,Hire at Hell's Gate gate or from nearby hotels,No,A unique way to see wildlife up close. Bring water and sunscreen. Cycling takes 3-4 hours for the full circuit,"Transport in Naivasha, Kenya: Bicycle Hire. Type: Bicycle. Description: Bicycles available for hire at Hell's Gate for cycling among wildlife. Cost: 500-800 KES per day. How to use: Hire at Hell's Gate gate or from nearby hotels. Tips: A unique way to see wildlife up close. Bring water and sunscreen. Cycling takes 3-4 hours for the full circuit."
Zanzibar,Tanzania,Ridehailing,Bolt,Bolt operates in Zanzibar Stone Town and surrounding areas,5000-15000 TZS,Download Bolt app,Yes - Bolt app,Agree on price before longer journeys. Bolt is more reliable than random taxis in Stone Town,"Transport in Zanzibar, Tanzania: Bolt. Type: Ridehailing. Description: Bolt operates in Zanzibar Stone Town and surrounding areas. Cost: 5000-15000 TZS. How to use: Download Bolt app. Tips: Agree on price before longer journeys. Bolt is more reliable than random taxis in Stone Town."
Zanzibar,Tanzania,Dala Dala,Dala Dala,Local minibuses connecting Stone Town to beaches and villages across Zanzibar,500-2000 TZS,Board at Darajani terminal in Stone Town,No,Very cheap but can be crowded and slow. Great way to experience local life. Routes go to Nungwi Paje and Kendwa,"Transport in Zanzibar, Tanzania: Dala Dala. Type: Dala Dala. Description: Local minibuses connecting Stone Town to beaches and villages across Zanzibar. Cost: 500-2000 TZS. How to use: Board at Darajani terminal in Stone Town. Tips: Very cheap but can be crowded and slow. Great way to experience local life. Routes go to Nungwi Paje and Kendwa."
Zanzibar,Tanzania,Taxi,Private Taxi,Negotiated taxis available at hotels and the port for island transfers,15000-50000 TZS depending on distance,Arrange through hotel or negotiate at taxi ranks,No,Always agree on price before the journey. Return trips are usually cheaper if you keep the same driver,"Transport in Zanzibar, Tanzania: Private Taxi. Type: Taxi. Description: Negotiated taxis available at hotels and the port for island transfers. Cost: 15000-50000 TZS depending on distance. How to use: Arrange through hotel or negotiate at taxi ranks. Tips: Always agree on price before the journey. Return trips are usually cheaper if you keep the same driver."
Zanzibar,Tanzania,Bajaj,Bajaj,Three wheeled motorised taxis similar to tuk tuks popular in Stone Town,2000-5000 TZS,Hail from roadside or near tourist sites,No,Fun for exploring Stone Town. Agree on price before boarding. Not comfortable for long distances,"Transport in Zanzibar, Tanzania: Bajaj. Type: Bajaj. Description: Three wheeled motorised taxis similar to tuk tuks popular in Stone Town. Cost: 2000-5000 TZS. How to use: Hail from roadside or near tourist sites. Tips: Fun for exploring Stone Town. Agree on price before boarding. Not comfortable for long distances."
Arusha,Tanzania,Ridehailing,Uber,Uber operates in Arusha covering the town and airport transfers,5000-20000 TZS,Download Uber app,Yes - Uber app,Good for airport transfers to Kilimanjaro. Confirm driver details before entering,"Transport in Arusha, Tanzania: Uber. Type: Ridehailing. Description: Uber operates in Arusha covering the town and airport transfers. Cost: 5000-20000 TZS. How to use: Download Uber app. Tips: Good for airport transfers to Kilimanjaro. Confirm driver details before entering."
Arusha,Tanzania,Bajaj,Bajaj,Three wheeled motorised taxis for short trips in Arusha town,1000-3000 TZS,Hail from roadside,No,Good for short hops in town. Always agree price first. Not suitable for long journeys,"Transport in Arusha, Tanzania: Bajaj. Type: Bajaj. Description: Three wheeled motorised taxis for short trips in Arusha town. Cost: 1000-3000 TZS. How to use: Hail from roadside. Tips: Good for short hops in town. Always agree price first. Not suitable for long journeys."
Kampala,Uganda,Ridehailing,Bolt,Bolt is the most popular ridehailing app in Kampala,5000-20000 UGX,Download Bolt app,Yes - Bolt app,More reliable than SafeBoda for longer distances. Surge pricing in evenings,"Transport in Kampala, Uganda: Bolt. Type: Ridehailing. Description: Bolt is the most popular ridehailing app in Kampala. Cost: 5000-20000 UGX. How to use: Download Bolt app. Tips: More reliable than SafeBoda for longer distances. Surge pricing in evenings."
Kampala,Uganda,Motorcycle,SafeBoda,Popular motorcycle taxi app in Kampala for fast navigation through traffic,2000-8000 UGX,Download SafeBoda app,Yes - SafeBoda app,Fast and affordable. Drivers are vetted and helmets provided. Best for short distances through traffic,"Transport in Kampala, Uganda: SafeBoda. Type: Motorcycle. Description: Popular motorcycle taxi app in Kampala for fast navigation through traffic. Cost: 2000-8000 UGX. How to use: Download SafeBoda app. Tips: Fast and affordable. Drivers are vetted and helmets provided. Best for short distances through traffic."
Kampala,Uganda,Matatu,Taxi Minibus,Shared minibuses covering all routes in Kampala and surrounding towns,1000-3000 UGX,Board at taxi parks in Kampala,No,Old and Gaaba taxi parks are main hubs. Cheap but chaotic for first timers,"Transport in Kampala, Uganda: Taxi Minibus. Type: Matatu. Description: Shared minibuses covering all routes in Kampala and surrounding towns. Cost: 1000-3000 UGX. How to use: Board at taxi parks in Kampala. Tips: Old and Gaaba taxi parks are main hubs. Cheap but chaotic for first timers."
Kisumu,Kenya,Ridehailing,Uber,Uber operates in Kisumu with decent coverage,300-800 KES,Download Uber app,Yes - Uber app,Less busy than Nairobi so waiting times can be longer. Bolt also available,"Transport in Kisumu, Kenya: Uber. Type: Ridehailing. Description: Uber operates in Kisumu with decent coverage. Cost: 300-800 KES. How to use: Download Uber app. Tips: Less busy than Nairobi so waiting times can be longer. Bolt also available."
Kisumu,Kenya,Motorcycle,Boda Boda,Motorcycle taxis are popular for short distances in Kisumu,50-200 KES,Hail from roadside,No,Agree price before riding. Wear helmet always. Main boda boda stages are near the bus station and market,"Transport in Kisumu, Kenya: Boda Boda. Type: Motorcycle. Description: Motorcycle taxis are popular for short distances in Kisumu. Cost: 50-200 KES. How to use: Hail from roadside. Tips: Agree price before riding. Wear helmet always. Main boda boda stages are near the bus station and market."
Lamu,Kenya,Boat,Water Taxi,The only motorised transport between islands in the Lamu archipelago. No cars on Lamu Island,200-500 KES,Arrange at the jetty or through hotel,No,Agree on price before boarding. Share with other passengers to reduce cost,"Transport in Lamu, Kenya: Water Taxi. Type: Boat. Description: The only motorised transport between islands in the Lamu archipelago. No cars on Lamu Island. Cost: 200-500 KES. How to use: Arrange at the jetty or through hotel. Tips: Agree on price before boarding. Share with other passengers to reduce cost."
Lamu,Kenya,Donkey,Donkey,Traditional transport on Lamu Island where no cars are allowed. Donkeys carry goods and passengers,100-200 KES,Hire through local handlers,No,Part of the unique Lamu experience. Be gentle with the animals. Not suitable for long distances,"Transport in Lamu, Kenya: Donkey. Type: Donkey. Description: Traditional transport on Lamu Island where no cars are allowed. Donkeys carry goods and passengers. Cost: 100-200 KES. How to use: Hire through local handlers. Tips: Part of the unique Lamu experience. Be gentle with the animals. Not suitable for long distances."
